,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
946,CLIENT NETWORK SERVICES LLC,BUSINESS ANALYST,"77,730","MARIETTA, GA",07/29/2020,08/07/2020,CERTIFIED
947,CCC INFORMATION SERVICES INC,BUSINESS ANALYST,"77,750","ISELIN, NJ",01/28/2020,02/11/2020,WITHDRAWN
948,AUTO INJURY SOLUTIONS INC,BUSINESS ANALYST,"77,750","ISELIN, NJ",01/28/2020,02/04/2020,CERTIFIED
949,PALAYEKAR COMPANIES INC,BUSINESS ANALYST,"77,750","CRANBURY, NJ",02/17/2020,02/18/2020,CERTIFIED
950,INFINITY TECH GROUP INC,BUSINESS ANALYST,"77,750","JERICHO, NY",02/27/2020,02/28/2020,CERTIFIED
951,MARKIT NORTH AMERICA INC,BUSINESS ANALYST,"77,750","NEW YORK, NY",03/23/2020,08/11/2020,CERTIFIED
952,NEXZENTEK SOLUTIONS INC,BUSINESS ANALYST,"77,750","HARRISON, NY",04/16/2020,04/24/2020,CERTIFIED
953,PRIMESOFT INC,BUSINESS ANALYST,"77,750","NEW YORK, NY",04/24/2020,10/01/2020,CERTIFIED
954,PRIMESOFT INC,BUSINESS ANALYST,"77,750","NEW YORK, NY",04/24/2020,10/01/2020,CERTIFIED
955,SAVVY IT GROUP INC,BUSINESS ANALYST,"77,750","PISCATAWAY, NJ",05/04/2020,10/01/2020,CERTIFIED
956,MICROEXCEL INC,BUSINESS ANALYST,"77,750","SECAUCUS, NJ",05/05/2020,10/01/2020,CERTIFIED
957,ARGENTO SC BY SICURA,BUSINESS ANALYST,"77,750","NEW YORK, NY",05/06/2020,10/01/2020,CERTIFIED
958,MICROEXCEL INC,BUSINESS ANALYST,"77,750","SECAUCUS, NJ",05/11/2020,11/03/2020,CERTIFIED
959,MICROEXCEL INC,BUSINESS ANALYST,"77,750","SECAUCUS, NJ",05/12/2020,10/01/2020,CERTIFIED
960,ISQUAREINFO LLC,BUSINESS ANALYST,"77,750","HACKENSACK, NJ",05/12/2020,05/25/2020,CERTIFIED
961,INFINITY TECH GROUP INC,BUSINESS ANALYST,"77,750","WOODCLIFF LAKE, NJ",05/13/2020,05/14/2020,CERTIFIED
962,PRIMESOFT INC,BUSINESS ANALYST,"77,750","NEW YORK, NY",05/20/2020,10/01/2020,CERTIFIED
963,EKODUS INC,BUSINESS ANALYST,"77,750","CRANBURY, NJ",06/08/2020,10/01/2020,CERTIFIED
964,APEX TECHNOLOGY GROUP INC,BUSINESS ANALYST,"77,750","WAYNE, NJ",06/24/2020,12/21/2020,CERTIFIED - WITHDRAWN
965,ISOFT SOLUTIONS INC,BUSINESS ANALYST,"77,771","ATLANTA, GA",01/31/2020,01/31/2020,CERTIFIED
966,ISOFT SOLUTIONS INC,BUSINESS ANALYST,"77,771","ATLANTA, GA",03/07/2020,03/09/2020,CERTIFIED
967,E-CQR INC,BUSINESS ANALYST,"77,771","ATLANTA, GA",04/10/2020,10/01/2020,CERTIFIED
968,TATA CONSULTANCY SERVICES LIMITED,BUSINESS ANALYST,"77,771","ATLANTA, GA",04/13/2020,10/11/2020,CERTIFIED
969,TATA CONSULTANCY SERVICES LIMITED,BUSINESS ANALYST,"77,771","ALPHARETTA, GA",04/16/2020,04/16/2020,CERTIFIED
970,TATA CONSULTANCY SERVICES LIMITED,BUSINESS ANALYST,"77,771","ATLANTA, GA",04/27/2020,10/16/2020,CERTIFIED
971,TATA CONSULTANCY SERVICES LIMITED,BUSINESS ANALYST,"77,771","ATLANTA, GA",05/14/2020,10/01/2020,CERTIFIED
972,FIRST TEK INC,BUSINESS ANALYST,"77,771","CUMMING,, GA",05/20/2020,06/01/2020,CERTIFIED
973,SIX CONSULTING INC,BUSINESS ANALYST,"77,771","ALPHARETTA, GA",06/04/2020,09/01/2020,CERTIFIED
974,SKILLGIGS INC,BUSINESS ANALYST,"77,771","SANDY SPRINGS, GA",06/09/2020,06/15/2020,CERTIFIED
975,LANCESOFT INC,BUSINESS ANALYST,"77,800","MONTEREY PARK, CA",03/23/2020,03/31/2020,CERTIFIED
976,HEXAWARE TECHNOLOGIES INC,BUSINESS ANALYST,"77,800","ALPHARETTA, GA",07/10/2020,07/17/2020,CERTIFIED
977,RIGIL CORPORATION,BUSINESS ANALYST,"77,875","WASHINGTON, DC",04/21/2020,09/18/2020,CERTIFIED
978,I-LINK SOLUTIONS INC,BUSINESS ANALYST,"78,000","HERNDON, VA",03/24/2020,08/01/2020,CERTIFIED
979,NEW YORK TECHNOLOGY PARTNERS INC,BUSINESS ANALYST,"78,000","MORRISTOWN, NJ",04/30/2020,10/01/2020,CERTIFIED
980,HEXAWARE TECHNOLOGIES INC,BUSINESS ANALYST,"78,000","ALPHARETTA, GA",05/21/2020,07/01/2020,CERTIFIED
981,REACHNETT CONSULTING INC,BUSINESS ANALYST,"78,000","CARROLLTON, TX",05/27/2020,08/25/2020,CERTIFIED
982,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"78,000","WOODLAND HILLS, CA",06/08/2020,10/01/2020,CERTIFIED
983,NEW YORK TECHNOLOGY PARTNERS INC,BUSINESS ANALYST,"78,000","LIBERTY CORNER, NJ",06/11/2020,10/01/2020,CERTIFIED
984,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"78,000","WOODLAND HILLS, CA",06/12/2020,10/01/2020,CERTIFIED
985,LANCESOFT INC,BUSINESS ANALYST,"78,000","SAN GABRIEL, CA",06/15/2020,06/23/2020,CERTIFIED
986,GLOBAL SYSTEMS LLC,BUSINESS ANALYST,"78,000","LONG BEACH, CA",06/18/2020,10/01/2020,CERTIFIED
987,1 WAY SOLUTIONS INC,BUSINESS ANALYST,"78,000","ATLANTA, GA",08/06/2020,01/26/2021,CERTIFIED - WITHDRAWN
988,1 WAY SOLUTIONS INC,BUSINESS ANALYST,"78,000","ATLANTA, GA",08/27/2020,01/26/2021,CERTIFIED
989,COVR FINANCIAL TECHNOLOGIES INC,BUSINESS ANALYST,"78,000","BOISE, ID",09/16/2020,09/21/2020,CERTIFIED
990,1 WAY SOLUTIONS INC,BUSINESS ANALYST,"78,000","ATLANTA, GA",08/26/2020,01/26/2021,WITHDRAWN
991,Y-AXIS INC,BUSINESS ANALYST,"78,062","MALVERN, PA",01/10/2020,03/29/2020,CERTIFIED
992,Y-AXIS INC,BUSINESS ANALYST,"78,062","MALVERN, PA",04/01/2020,10/01/2020,CERTIFIED
993,VEN SOFT LLC,BUSINESS ANALYST,"78,062","CHERRY HILL, NJ",04/27/2020,09/16/2020,CERTIFIED
994,INTONE NETWORKS INC,BUSINESS ANALYST,"78,062","NEWARK, DE",05/21/2020,10/01/2020,CERTIFIED
995,NIIT TECHNOLOGIES LIMITED,BUSINESS ANALYST,"78,062","OAKS, PA",05/26/2020,06/15/2020,CERTIFIED
996,STANDAV CORP,BUSINESS ANALYST,"78,070","WILMINGTON, DE",03/18/2020,03/25/2020,CERTIFIED
997,INTERNATIONAL BUSINESS MACHINES CORPORATION,BUSINESS ANALYST,"78,100","DURHAM, NC",06/03/2020,06/17/2020,CERTIFIED
998,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"78,104","DALLAS, TX",01/15/2020,03/01/2020,CERTIFIED
999,IBM CORPORATION,BUSINESS ANALYST,"78,104","DALLAS, TX",03/20/2020,09/10/2020,CERTIFIED
1000,TATA CONSULTANCY SERVICES LIMITED,BUSINESS ANALYST,"78,125","COLUMBUS, OH",09/18/2020,01/01/2021,CERTIFIED
1001,INTERNATIONAL BUSINESS MACHINES CORPORATION,BUSINESS ANALYST,"78,208","TORRANCE, CA",04/30/2020,04/30/2020,CERTIFIED
1002,INTERNATIONAL BUSINESS MACHINES CORPORATION,BUSINESS ANALYST,"78,208","TORRANCE, CA",05/05/2020,05/05/2020,CERTIFIED
1003,INTERNATIONAL BUSINESS MACHINES CORPORATION,BUSINESS ANALYST,"78,208","TORRANCE, CA",06/15/2020,06/22/2020,CERTIFIED
1004,INFOGAIN CORPORATION,BUSINESS ANALYST,"78,208","FOUNTAIN VALLEY, CA",06/18/2020,10/01/2020,CERTIFIED
1005,TECH MAHINDRA (AMERICAS) INC,BUSINESS ANALYST,"78,219","O'FALLON, MO",05/19/2020,10/16/2020,CERTIFIED
1006,ALTAMETRICS LLC,BUSINESS ANALYST,"78,278","COSTA MESA, CA",06/02/2020,08/31/2020,CERTIFIED
1007,SALIGRAM SYSTEMS INC,BUSINESS ANALYST,"78,354","WASHINGTON, DC",01/31/2020,02/10/2020,CERTIFIED
1008,SYNAPTEIN SOLUTIONS INC,BUSINESS ANALYST,"78,354","MCLEAN, VA",05/29/2020,10/01/2020,CERTIFIED
1009,SYNAPTEIN SOLUTIONS INC,BUSINESS ANALYST,"78,354","MCLEAN, VA",06/08/2020,10/01/2020,CERTIFIED
1010,ACCENTURE LLP,BUSINESS ANALYST,"78,416","DEARBORN, MI",01/08/2020,01/14/2020,CERTIFIED
1011,INTERNATIONAL BUSINESS MACHINES CORPORATION,BUSINESS ANALYST,"78,416","CARY, NC",01/30/2020,07/29/2020,CERTIFIED
1012,IBM CORPORATION,BUSINESS ANALYST,"78,416","CARY, NC",03/20/2020,09/10/2020,CERTIFIED
1013,METLIFE GROUP INC,BUSINESS ANALYST,"78,416","CARY, NC",04/17/2020,08/22/2020,CERTIFIED
1014,TECH MAHINDRA (AMERICAS) INC,BUSINESS ANALYST,"78,416","DEARBORN, MI",06/18/2020,08/02/2020,CERTIFIED
1015,TECH MAHINDRA (AMERICAS) INC,BUSINESS ANALYST,"78,456","AKRON, OH",02/05/2020,02/05/2020,CERTIFIED
1016,24X7 ESI INC,BUSINESS ANALYST,"78,500","MORRISTOWN, NJ",01/08/2020,03/30/2020,CERTIFIED
1017,24X7 ESI INC,BUSINESS ANALYST,"78,500","MORRISTOWN, NJ",01/08/2020,03/30/2020,CERTIFIED
1018,TECHNOSOFT CORPORATION,BUSINESS ANALYST,"78,500","ROMULUS, MI",05/13/2020,10/01/2020,CERTIFIED
1019,ASTIR IT SOLUTIONS INC,BUSINESS ANALYST,"78,500","OAKS, PA",06/16/2020,10/09/2020,CERTIFIED
1020,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"78,924","ATLANTA, GA",05/11/2020,05/11/2020,CERTIFIED
1021,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"78,924","ATLANTA, GA",06/11/2020,06/15/2020,CERTIFIED
1022,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"78,924","ATLANTA, GA",06/19/2020,06/19/2020,CERTIFIED
1023,CONSULTADD INC,BUSINESS ANALYST,"78,950","WESTBOROUGH, MA",03/11/2020,04/10/2020,CERTIFIED
1024,USM BUSINESS SYSTEMS INC,BUSINESS ANALYST,"78,957","SAN ANTONIO, TX",05/20/2020,09/29/2020,CERTIFIED
1025,UST GLOBAL INC,BUSINESS ANALYST,"78,984","ALPHARETTA, GA",03/26/2020,05/10/2020,CERTIFIED
1026,MROADS LLC,BUSINESS ANALYST,"78,998","IRVING, TX",03/04/2020,04/24/2020,CERTIFIED
1027,HITACHI VANTARA LLC,BUSINESS ANALYST,"78,998","DALLAS, TX",03/24/2020,09/23/2020,CERTIFIED
1028,MEDEANALYTICS INC,BUSINESS ANALYST,"78,998","RICHARDSON, TX",05/26/2020,08/13/2020,CERTIFIED
1029,SYNAPSIS INC,BUSINESS ANALYST,"78,998","PLANO, TX",06/15/2020,10/01/2020,CERTIFIED - WITHDRAWN
1030,EQUINOX IT SOLUTIONS LLC,BUSINESS ANALYST,"78,998","DALLAS, TX",06/17/2020,10/01/2020,CERTIFIED
1031,INFOGAIN CORPORATION,BUSINESS ANALYST,"78,998","IRVING, TX",06/18/2020,10/01/2020,CERTIFIED
1032,SYNAPSIS INC,BUSINESS ANALYST,"78,998","PLANO, TX",06/22/2020,06/29/2020,CERTIFIED
1033,IKNOWVATE TECHNOLOGIES INC,BUSINESS ANALYST,"79,000","DEARBORN, MI",02/24/2020,03/16/2020,CERTIFIED
1034,DELOITTE CONSULTING LLP,BUSINESS ANALYST,"79,000","ATLANTA, GA",02/26/2020,08/12/2020,CERTIFIED
1035,TECHNOSOFT CORPORATION,BUSINESS ANALYST,"79,000","BIRMINGHAM, MI",03/03/2020,03/16/2020,CERTIFIED
1036,ASTRA INC,BUSINESS ANALYST,"79,000","TUCSON, AZ",05/13/2020,10/01/2020,CERTIFIED
1037,GLOBAL SYSTEMS LLC,BUSINESS ANALYST,"79,000","MALVERN, PA",06/18/2020,10/01/2020,CERTIFIED
1038,HOPE IN HOME CARE LLC,BUSINESS ANALYST,"79,000","NEWPORT NEWS, VA",06/25/2020,09/09/2020,CERTIFIED
1039,TAPROOT SOLUTIONS INC,BUSINESS ANALYST,"79,000","IRVING, TX",06/29/2020,06/29/2020,CERTIFIED
1040,CONSULTADD INC,BUSINESS ANALYST,"79,040","PEKIN, IL",07/07/2020,08/31/2020,CERTIFIED
1041,ANJANEYAP INC,BUSINESS ANALYST,"79,061","AGOURA HILLS, CA",05/01/2020,10/01/2020,CERTIFIED
1042,ZUVEN TECHNOLOGIES INC,BUSINESS ANALYST,"79,123","NEWARK, NJ",05/14/2020,10/01/2020,CERTIFIED
1043,FIRST TEK INC,BUSINESS ANALYST,"79,186","EDEN PRAIRIE,, MN",04/02/2020,04/30/2020,WITHDRAWN
1044,FIRST TEK INC,BUSINESS ANALYST,"79,186","EDEN PRAIRIE,, MN",04/02/2020,04/30/2020,CERTIFIED
1045,FIRST TEK INC,BUSINESS ANALYST,"79,186","ST. PAUL,, MN",04/21/2020,05/04/2020,CERTIFIED
1046,FIRST TEK INC,BUSINESS ANALYST,"79,186","PLYMOUTH,, MN",04/28/2020,05/04/2020,CERTIFIED
1047,FIRST TEK INC,BUSINESS ANALYST,"79,186","EDEN PRAIRIE,, MN",05/05/2020,05/18/2020,CERTIFIED
1048,FIRST TEK INC,BUSINESS ANALYST,"79,186","SAINT LOUIS PARK,, MN",06/08/2020,10/17/2020,CERTIFIED
1049,FARGO SOLUTIONS INC,BUSINESS ANALYST,"79,186","ST PAUL, MN",06/18/2020,10/01/2020,CERTIFIED
1050,FARGO SOLUTIONS INC,BUSINESS ANALYST,"79,186","MINNEAPOLIS, MN",06/18/2020,10/01/2020,CERTIFIED
1051,FARGO SOLUTIONS INC,BUSINESS ANALYST,"79,186","MINNEAPOLIS, MN",06/19/2020,10/01/2020,CERTIFIED
1052,FARGO SOLUTIONS INC,BUSINESS ANALYST,"79,186","SAINT PAUL, MN",06/19/2020,10/01/2020,CERTIFIED
1053,ACCENTURE LLP,BUSINESS ANALYST,"79,435","MADISON HEIGHTS, MI",07/09/2020,07/15/2020,CERTIFIED
1054,CONSULTADD INC,BUSINESS ANALYST,"79,560","IRVING, TX",06/12/2020,10/01/2020,CERTIFIED
1055,CONSULTADD INC,BUSINESS ANALYST,"79,560","IRVING, TX",06/12/2020,10/01/2020,CERTIFIED
1056,NATSOFT CORPORATION,BUSINESS ANALYST,"79,560","BALTIMORE, MD",06/22/2020,10/01/2020,CERTIFIED
1057,NATSOFT CORPORATION,BUSINESS ANALYST,"79,560","BALTIMORE, MD",06/22/2020,10/01/2020,CERTIFIED
1058,EPORTAL LLC,BUSINESS ANALYST,"79,560","SANTA CLARA, CA",09/21/2020,10/01/2020,CERTIFIED
1059,VITALTECH AFFILIATES LLC,BUSINESS ANALYST,"79,561","PLANO, TX",05/15/2020,10/01/2020,CERTIFIED
1060,VITALTECH AFFILIATES LLC,BUSINESS ANALYST,"79,561","PLANO, TX",06/05/2020,10/01/2020,CERTIFIED
1061,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"79,584","WEST SACRAMENTO, CA",05/13/2020,05/13/2020,CERTIFIED
1062,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"79,584","WEST SACRAMENTO, CA",05/15/2020,05/15/2020,CERTIFIED
1063,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"79,584","WEST SACRAMENTO, CA",05/28/2020,06/01/2020,CERTIFIED
1064,IBM INDIA PRIVATE LIMITED,BUSINESS ANALYST,"79,584","WEST SACRAMENTO, CA",06/17/2020,06/22/2020,CERTIFIED
1065,ACCENTURE LLP,BUSINESS ANALYST,"79,700","CHICAGO, IL",09/04/2020,09/10/2020,CERTIFIED
1066,MIRAGE SOFTWARE INC DBA: BOURNTEC SOLUTIONS,BUSINESS ANALYST,"79,747","SCHAUMBURG, IL",07/01/2020,09/16/2020,CERTIFIED
1067,MIRAGE SOFTWARE INC DBA: BOURNTEC SOLUTIONS,BUSINESS ANALYST,"79,747","SCHAUMBURG, IL",08/06/2020,09/16/2020,CERTIFIED
1068,TECH MAHINDRA (AMERICAS) INC,BUSINESS ANALYST,"79,780","LOUISVILLE, KY",07/13/2020,01/01/2021,CERTIFIED
1069,SHUBH SOLUTIONS LLC,BUSINESS ANALYST,"79,851","CHESTERBROOK, PA",08/26/2020,08/27/2020,CERTIFIED
1070,SHUBH SOLUTIONS LLC,BUSINESS ANALYST,"79,851","CHESTERBROOK, PA",08/27/2020,10/01/2020,CERTIFIED
1071,IBM CORPORATION,BUSINESS ANALYST,"79,872","DURHAM, NC",03/23/2020,09/10/2020,CERTIFIED
1072,BAHWAN CYBERTEK INC,BUSINESS ANALYST,"79,900","SANTA CLARA, CA",02/18/2020,04/23/2020,CERTIFIED
1073,STRATEGIC RESOURCES INTERNATIONAL INC,BUSINESS ANALYST,"79,934","TRENTON, NJ",04/24/2020,10/05/2020,CERTIFIED
1074,JPMORGAN CHASE & CO,BUSINESS ANALYST,"79,992","LEWISVILLE, TX",09/14/2020,10/01/2020,CERTIFIED
1075,CYBERTHINK INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",01/17/2020,01/27/2020,CERTIFIED
1076,TECHIE BRAINS INCORPORATED,BUSINESS ANALYST,"80,000","NORMAL, IL",01/23/2020,02/10/2020,CERTIFIED
1077,TATA CONSULTANCY SERVICES LIMITED,BUSINESS ANALYST,"80,000","LOUISVILLE, KY",01/24/2020,01/25/2020,CERTIFIED
1078,FIREFLY PROS INC,BUSINESS ANALYST,"80,000","JACKSONVILLE, FL",01/30/2020,03/21/2020,CERTIFIED
1079,DELOITTE CONSULTING LLP,BUSINESS ANALYST,"80,000","NEW YORK, NY",02/13/2020,08/07/2020,CERTIFIED
1080,ERP CLOUD TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","KANSAS CITY, MO",02/19/2020,02/27/2020,CERTIFIED
1081,ERP CLOUD TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","KANSAS CITY, MO",02/20/2020,02/27/2020,CERTIFIED
1082,DELOITTE CONSULTING LLP,BUSINESS ANALYST,"80,000","NEW YORK, NY",02/27/2020,08/14/2020,CERTIFIED
1083,YASH & LUJAN CONSULTING INC,BUSINESS ANALYST,"80,000","SAN ANTONIO, TX",03/03/2020,03/16/2020,CERTIFIED
1084,OCTAHEDRON LLC,BUSINESS ANALYST,"80,000","MINNEAPOLIS, MN",03/03/2020,03/10/2020,CERTIFIED
1085,CONGLOMERATEIT LLC,BUSINESS ANALYST,"80,000","RALEIGH, NC",03/06/2020,03/11/2020,CERTIFIED
1086,CONGLOMERATEIT LLC,BUSINESS ANALYST,"80,000","RALEIGH, NC",03/06/2020,03/11/2020,CERTIFIED
1087,KASTECH SOLUTIONS LLC,BUSINESS ANALYST,"80,000","LINCOLNSHIRE, IL",03/10/2020,03/10/2020,CERTIFIED
1088,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","COPPELL, TX",03/12/2020,03/23/2020,CERTIFIED
1089,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","COPPELL, TX",03/12/2020,03/20/2020,CERTIFIED
1090,UNIQUE KEY RESOURCES INC,BUSINESS ANALYST,"80,000","MEMPHIS, TN",03/13/2020,03/13/2020,CERTIFIED
1091,GLOBAL INFOTECH INC,BUSINESS ANALYST,"80,000","HELENA, MT",03/15/2020,09/14/2020,CERTIFIED
1092,GLOBAL INFOTECH INC,BUSINESS ANALYST,"80,000","HELENA, MT",03/15/2020,09/14/2020,CERTIFIED
1093,UNIQUE KEY RESOURCES INC,BUSINESS ANALYST,"80,000","MEMPHIS, TN",03/16/2020,03/16/2020,CERTIFIED
1094,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","COPPELL, TX",03/16/2020,03/23/2020,CERTIFIED
1095,ZGAGE INC,BUSINESS ANALYST,"80,000","CHICAGO, IL",03/17/2020,03/17/2020,CERTIFIED
1096,RCG GLOBAL SERVICES INC,BUSINESS ANALYST,"80,000","IRVING, TX",03/18/2020,09/17/2020,CERTIFIED
1097,ASSURECARE LLC,BUSINESS ANALYST,"80,000","CINCINNATI, OH",03/19/2020,09/01/2020,CERTIFIED
1098,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","PLANO, TX",03/24/2020,03/24/2020,CERTIFIED
1099,MASTEREX TECHNOLOGIES INC,BUSINESS ANALYST,"80,000","ALPHARETTA, GA",03/31/2020,04/30/2020,CERTIFIED
1100,PULSEPOINT INC,BUSINESS ANALYST,"80,000","NEW YORK, NY",04/06/2020,10/01/2020,CERTIFIED
1101,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","AUSTIN, TX",04/08/2020,04/27/2020,CERTIFIED
1102,PIETRO CORICELLI NORTH AMERICA LTD,BUSINESS ANALYST,"80,000","PARAMUS, NJ",04/14/2020,10/01/2020,CERTIFIED
1103,PIETRO CORICELLI NORTH AMERICA LTD,BUSINESS ANALYST,"80,000","PARAMUS, NJ",04/14/2020,10/01/2020,CERTIFIED
1104,CYBERTHINK INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",04/17/2020,04/17/2020,CERTIFIED
1105,CYBERTHINK INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",04/20/2020,04/20/2020,CERTIFIED
1106,US TIGER SECURITIES INC,BUSINESS ANALYST,"80,000","NEW YORK, NY",04/21/2020,10/01/2020,CERTIFIED
1107,MONTICELLO CONSULTING GROUP INC,BUSINESS ANALYST,"80,000","NEW YORK, NY",04/22/2020,10/01/2020,CERTIFIED
1108,FIRST TEK INC,BUSINESS ANALYST,"80,000","PRINCETON,, NJ",04/23/2020,06/01/2020,CERTIFIED
1109,PAMTEN INC,BUSINESS ANALYST,"80,000","CHANDLER, AZ",04/27/2020,04/27/2020,CERTIFIED
1110,MOODY'S INVESTORS SERVICE INC,BUSINESS ANALYST,"80,000","NEW YORK, NY",05/01/2020,10/01/2020,CERTIFIED
1111,INNIVE INC,BUSINESS ANALYST,"80,000","LOS ANGELES, CA",05/06/2020,10/01/2020,CERTIFIED
1112,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","MONTGOMERY, AL",05/07/2020,10/01/2020,CERTIFIED
1113,ASTRUMU INC,BUSINESS ANALYST,"80,000","KIRKLAND, WA",05/12/2020,10/01/2020,CERTIFIED
1114,COMPU TECH COMPUTERS INC,BUSINESS ANALYST,"80,000","ELMHURST, NY",05/13/2020,05/21/2020,CERTIFIED
1115,COMPU TECH COMPUTERS INC,BUSINESS ANALYST,"80,000","ELMHURST, NY",05/13/2020,05/21/2020,CERTIFIED
1116,RGA ENTERPRISE SERVICES COMPANY,BUSINESS ANALYST,"80,000","CHESTERFIELD, MO",05/18/2020,10/01/2020,CERTIFIED
1117,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","SAN ANTONIO, TX",05/21/2020,05/29/2020,CERTIFIED
1118,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"80,000","STAFFORD, TX",05/21/2020,05/29/2020,CERTIFIED
1119,PRODWARE SOLUTIONS LLC,BUSINESS ANALYST,"80,000","BRANCHBURG, NJ",05/21/2020,05/25/2020,CERTIFIED
1120,NEBULOGIC TECHNOLOGIES (HOLDINGS) INC,BUSINESS ANALYST,"80,000","PLANO, TX",05/26/2020,09/09/2020,CERTIFIED
1121,SAVVY IT GROUP INC,BUSINESS ANALYST,"80,000","CHESTERFIELD, MO",06/02/2020,10/01/2020,CERTIFIED
1122,DEXTRO SOFTWARE SYSTEMS INC,BUSINESS ANALYST,"80,000","MERRIMACK, NH",06/08/2020,06/08/2020,CERTIFIED
1123,VSQUARE INFOTECH INC,BUSINESS ANALYST,"80,000","OAKS, PA",06/08/2020,09/07/2020,CERTIFIED
1124,INNIVE INC,BUSINESS ANALYST,"80,000","LOS ANGELES, CA",06/10/2020,10/01/2020,CERTIFIED
1125,TABNER INC,BUSINESS ANALYST,"80,000","CHARLOTTE, NC",06/15/2020,10/01/2020,CERTIFIED
1126,US TIGER SECURITIES INC,BUSINESS ANALYST,"80,000","NEW YORK, NY",06/16/2020,10/01/2020,CERTIFIED
1127,US TIGER SECURITIES INC,BUSINESS ANALYST,"80,000","NEW YORK, NY",06/16/2020,10/01/2020,CERTIFIED
1128,ABD SOLUTIONS INC,BUSINESS ANALYST,"80,000","DOUGLASVILLE, GA",06/18/2020,10/01/2020,CERTIFIED
1129,GLOBAL SYSTEMS LLC,BUSINESS ANALYST,"80,000","OAKS, PA",06/18/2020,10/01/2020,CERTIFIED
1130,CONGRUENT SOLUTIONS INC,BUSINESS ANALYST,"80,000","BURLINGTON, MA",06/22/2020,10/01/2020,CERTIFIED
1131,3I INFOTECH INC,BUSINESS ANALYST,"80,000","CHICAGO, IL",06/23/2020,06/30/2020,CERTIFIED
1132,GENIUS MINDS LLC,BUSINESS ANALYST,"80,000","SAN FRANCISCO, CA",07/01/2020,07/13/2020,CERTIFIED
1133,TECKPROS LLC,BUSINESS ANALYST,"80,000","COLUMBUS, OH",07/01/2020,11/08/2020,CERTIFIED
1134,IMPLIFY INC,BUSINESS ANALYST,"80,000","MALVERN, PA",07/02/2020,08/15/2020,CERTIFIED
1135,PHARMFOOD GROUP OF COMPANIES INC,BUSINESS ANALYST,"80,000","TAMPA, FL",07/15/2020,12/12/2020,CERTIFIED
1136,KASTECH SOLUTIONS LLC,BUSINESS ANALYST,"80,000","LINCOLNSHIRE, IL",01/30/2020,02/17/2020,CERTIFIED - WITHDRAWN
1137,FIREFLY PROS INC,BUSINESS ANALYST,"80,000","SAN ANTONIO, TX",07/30/2020,07/30/2020,CERTIFIED
1138,HIO SHARED SERVICES INC,BUSINESS ANALYST,"80,000","LA VISTA, NE",07/30/2020,08/10/2020,CERTIFIED
1139,OBJECTS ON NET INC,BUSINESS ANALYST,"80,000","OAKS, PA",08/04/2020,09/08/2020,CERTIFIED
1140,PROKARMA INC,BUSINESS ANALYST,"80,000","OMAHA, NE",08/07/2020,12/31/2020,CERTIFIED
1141,KKB PARTNERS LLC,BUSINESS ANALYST,"80,000","LOS ANGELES, CA",08/11/2020,08/17/2020,CERTIFIED
1142,SOFTWARE INTEGRATION SERVICES INC,BUSINESS ANALYST,"80,000","TRENTON, NJ",08/18/2020,11/10/2020,CERTIFIED
1143,GENIUS MINDS LLC,BUSINESS ANALYST,"80,000","RICHFIELD, MN",08/19/2020,10/01/2020,CERTIFIED
1144,PHARMFOOD GROUP OF COMPANIES INC,BUSINESS ANALYST,"80,000","TAMPA, FL",08/26/2020,12/12/2020,CERTIFIED
1145,PHARMFOOD GROUP OF COMPANIES INC,BUSINESS ANALYST,"80,000","TAMPA, FL",08/26/2020,12/11/2020,CERTIFIED
1146,SAVVY IT GROUP INC,BUSINESS ANALYST,"80,000","DISTRICT OF COLUMBIA, DC",09/01/2020,10/01/2020,CERTIFIED
